agency_id,agency_name,agency_url,agency_timezone
940,Martley's,https://martleys.com/,Europe/London
967,Bus Feda,https://busfeda.ie/,Europe/London
969,Allen's Bus Hire,https://allensbushire.ie/,Europe/London
972,Piltown Coaches,http://piltowncoaches.com/,Europe/London
999,Express Bus,https://expressbus.ie/,Europe/London
BCE,Burren and Cliffs Explorer,https://www.cliffsofmoher.ie/burren-and-cliffs-of-moher-explorer/,Europe/London
Carolan,Balbriggan Express,http://www.carolancoachhire.ie/,Europe/London
IR,Iarnród Éireann / Irish Rail,https://www.irishrail.ie/en-ie/,Europe/London
JJBK,JJ/Bernard Kavanagh,https://jjkavanagh.ie/#,Europe/London
LLCK,TFI Local Link Cork,https://locallinkcork.ie/,Europe/London
LLCN,TFI Local Link Cavan Monaghan,https://www.locallinkcm.ie/,Europe/London
LLCWKK,TFI Local Link Carlow Kilkenny Wicklow,https://www.locallinkckw.ie/,Europe/London
LLDSL,TFI Local Link Donegal Sligo Leitrim,https://locallinkdsl.ie/,Europe/London
LLGY,TFI Local Link Galway,https://www.locallinkgalway.ie/,Europe/London
LLKE,TFI Local Link Kildare South Dublin,https://locallinkkildaresouthdublin.ie/,Europe/London
LLKY,TFI Local Link Kerry,https://www.locallinkkerry.ie/,Europe/London
LLLC,TFI Local Link Limerick Clare,https://www.locallinklc.ie/,Europe/London
LLLMF,TFI Local Link Louth Meath Fingal,https://www.locallinklmf.ie/,Europe/London
LLLO,TFI Local Link Laois Offaly,https://locallinklaoisoffaly.ie/,Europe/London
LLLW,TFI Local Link Longford Westmeath Roscommon,https://locallinklwr.ie/,Europe/London
LLMO,TFI Local Link Mayo,https://www.locallinkmayo.ie/,Europe/London
LLTY,TFI Local Link Tipperary,https://locallinktipperary.ie/,Europe/London
LLWD,TFI Local Link Waterford,https://www.locallinkwaterford.ie/,Europe/London
LLWX,TFI Local Link Wexford,https://locallinkwexford.ie/,Europe/London
NTLK,"Nitelink, Dublin Bus",https://www.dublinbus.ie/,Europe/London
WFRD,Bus Éireann Waterford,https://www.buseireann.ie,Europe/London
